index,category,output_path,original_name,original_size,output_size,has_alpha,alpha_min,alpha_max,source_sha256
56,Decorations,Decorations/056_blue_binder_clip.png,input_056.png,1254x1254,588x737,True,0,255,06c56398de26ca7610aa8fd19a49c9fb085766415a1338ff873a6b3579ebc594
58,Decorations,Decorations/058_blue_splash_marks.png,input_058.png,1254x1254,454x586,True,0,255,164bb51b92a17dfaf4752a0f303ee266a1f8929cf6470442d34297721fe59e06
59,HUD,HUD/059_progress_panel_status_bar.png,input_059.png,2172x724,1632x587,True,0,255,e88c26b93ec04a5345dd41d37578c3020721abf499bd5dfefb60718b16a73ded
60,Characters,Characters/060_hamster_profile_square.png,input_060.png,1254x1254,1005x1012,True,0,255,32318b79ca757f3838e4b9942b21db7c4829cba3e42b86f845768607be2e0439
61,HUD,HUD/061_level_bar_background.png,input_061.png,2508x627,1975x254,True,0,255,3351fcd652ec56469b78fba22fc08682723e9ed0fd35d10a8059db911ec2959b
62,HUD,HUD/062_level_bar_fill_teal.png,input_062.png,2508x627,1764x154,True,0,255,4fa59b0ca90aed7b7f529f6324c7eccb6852eac7496699ae3d04682c5e925406
63,HUD,HUD/063_coin_counter_panel_blank.png,input_063.png,2172x724,1742x436,True,0,255,03ed9e2651c75624f4355a08522b00c987f90db0889620cd909c0ab5c88072df
64,Buttons,Buttons/064_blue_plus_button.png,input_064.png,1254x1254,739x760,True,0,255,6344611d533a33873aa4ed1ce2d5e0f812081596df0b3a60c0bbcf4bcc5b5675
65,MainMenu,MainMenu/065_todo_list_note.png,input_065.png,1086x1448,887x1009,True,0,255,2e3ee7f5087a4191d9392951f551c55ceaeb6070d91eca071eb34922e34d436f
66,Panels,Panels/066_pinned_note_small.png,input_066.png,1024x1536,895x592,True,0,255,a115264887c799c027e3fe70e1c61a95f55858fe2ef89a1e23f1c4e9a4dff6b7
68,Panels,Panels/068_status_ready_small_panel.png,input_068.png,1448x1086,1218x554,True,0,255,982d8901f2869bfece92f5831f3781340639d632ed26e9c75a6284edae92841a
70,HUD,HUD/070_mini_status_pill_panel.png,input_070.png,2172x724,1676x486,True,0,255,21b1af35bdcab1a1e649f373a0869169d465f0fd0ad4a633b28f0564d795c62b
71,Icons,Icons/071_stopwatch_icon.png,input_071.png,1254x1254,680x803,True,0,255,01ced99b4c24931282b004b55911de1a4d74c856906e807a54ad7c59bfa1bfbe
72,HUD,HUD/072_mission_card_blank_vertical.png,input_072.png,1122x1402,990x1099,True,0,255,a8b398a01a1b90da21dcf08ee467ad9c12956cb15719398359f4aba8de280895
73,HUD,HUD/073_reward_box_blue.png,input_073.png,2172x724,1205x373,True,0,255,b3571db737ede6b4fbf7cdc8d3415b37e0826bc0a84d75d697c52bf75df10c09
74,Characters,Characters/074_hamster_face_icon.png,input_074.png,1254x1254,788x635,True,0,255,86de51e689260b410e9f12177ee84ddff5973b290f65d61ae334e098d25a342f
75,HUD,HUD/075_reward_box_cream.png,input_075.png,2172x724,1836x477,True,0,255,07c09fe37e0146965850daf9ba048df49f06f15837b2198ab7e8d20ff52ce215
76,HUD,HUD/076_stamina_bar_background.png,input_076.png,2508x627,2256x459,True,0,255,e5441422dd791576df781136a806b347ec2a26df5b479050a309f49352d91116
77,HUD,HUD/077_stamina_bar_fill_teal.png,input_077.png,2508x627,2210x213,True,0,255,efdeee6a24fbdc402777ca0d1caa24b6dadc7959c430fd02ac68592c6a2bfbf0
78,Icons,Icons/078_lightning_teal.png,input_078.png,1254x1254,466x722,True,0,255,236d7eec7a062e7962c795215fb28cc18b9e6f0c09249abfe21650eb474c419a
79,Icons,Icons/079_paw_beige.png,input_079.png,1254x1254,812x764,True,0,255,b418822db6c85d50a371a91b6a79c99b628fc04ccda90b71fc26a967367db9b7
