path,category,old_texture_type,new_texture_type,old_max_size,new_max_size,old_compression,new_compression,action,note
Assets/ProjectONE/UI/Sprites/Lobby_CharacterSelect/100_character_card_red.png,Lobby_CharacterSelect,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Lobby_CharacterSelect/101_character_card_blue.png,Lobby_CharacterSelect,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Lobby_CharacterSelect/102_lobby_ui_mockup_panel.png,Lobby_CharacterSelect,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Lobby_CharacterSelect/103_selection_check_badge.png,Lobby_CharacterSelect,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Lobby_CharacterSelect/105_help_bubble_blank.png,Lobby_CharacterSelect,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Lobby_CharacterSelect/106_room_code_top_panel.png,Lobby_CharacterSelect,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Lobby_CharacterSelect/107_ready_count_top_panel.png,Lobby_CharacterSelect,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Lobby_CharacterSelect/108_lobby_top_message_panel.png,Lobby_CharacterSelect,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Lobby_CharacterSelect/111_room_code_tag_long_blank.png,Lobby_CharacterSelect,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Lobby_CharacterSelect/112_lobby_top_banner_blank.png,Lobby_CharacterSelect,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
